Variety,Names,Bee,Bee_sd,Bumble,Bumble_sd,NSC,NSC_sd,Corolla,Corolla_sd,Flower,Flower_sd,Colour_flag,Hue_flag,NSC*Flower
LV01,Anouk,4.4,2.0736441,3.8,0.83666,239.994,79.06995575,5.815,0.370639561,8571,238.0231081,purple,-0.87377564,2056988.574
LV02,Forte Deep Purple,3.4,3.4351128,16.2,7.014271,248.3033,119.1513357,5.8765,0.288339621,21492,397.0610784,purple,-0.3568029,5336534.524
LV03,LV Big Night,0.6,0.5477226,10.6,5.029911,216.9348,92.50146203,6.3105,0.34442133,9984,1088.177375,purple,-0.21003005,2165877.043
LV07,LV Berry Beautiful,1.2,1.3038405,11,3.605551,193.9203,72.38053103,6.362,0.352981288,18270.2,582.0749093,purple,-1.09045485,3542962.665
LV05,LV05,1.8,2.1679483,8.6,4.449719,245.8165,78.80447671,6.265,0.436113216,12552,1390.816307,purple,0.03635875,3085488.708
LV06,LV06,3.6,1.9493589,8.2,5.80517,121.8015,36.64975627,5.8345,0.530833258,13824,1671.324475,purple,0.76387943,1683783.936
LV04,LV07,0.6,0.8944272,13.6,7.668116,227.1327,93.56952605,6.2815,0.470098254,29571,1122.477171,purple,-0.44479475,6716541.072
LV08,LV08,1,1.2247449,9.4,4.827007,180.2317,76.33889652,6.803,0.368183307,16473,1483.726727,pink,-0.4224844,2968956.794
LV09,LV09,3.2,3.1144823,13.6,5.319774,223.0007,125.8462776,6.5735,0.397456055,27516,2938.423046,purple,-1.51221471,6136087.261
LV10,LV10,3.6,5.3665631,10.4,5.22494,222.0016,98.05967203,6.439,0.422647047,20916,1949.901921,white,-0.74280403,4643385.466
LV11,LV11,1.4,1.3416408,8,3.391165,177.9221,59.19147134,5.774,0.387263001,16905,1489.538519,pink,0.66242489,3007773.101
LV12,LV12,0.8,1.3038405,12.4,6.228965,242.2283,90.09320284,6.3205,0.490611595,16428,939.4719261,purple,-1.02814514,3979326.512
LV13,LV13,1.2,1.7888544,8.8,4.086563,174.7637,66.41923148,6.6905,0.546611331,8073,481.4509321,pink,-0.29166898,1410867.35
LV14,LV14,1.4,1.5165751,9.8,4.32435,170.7014,73.65896909,6.3425,0.489423668,19800,3403.331089,purple,-0.02421695,3379887.72
LV15,LV15,1.2,1.6431677,12.8,7.949843,192.5093,91.13020808,6.3825,0.594685897,29568,3590.008008,purple,-0.28617475,5692114.982
